"Filing","","Section in"
"Manual","Filing Requirement","this ESA"
"No.","","Report"
"","","6.18"
"","Describe plans and measures to address potential effects of accidents and malfunctions",""
"3.","","Appendix A"
"","during construction and operation of the project.",""
"","","(EPP)"
"Evaluation of Significance","",""
"","After taking into account any appropriate mitigation measures, identify any remaining residual",""
"1.","","6.0"
"","effects from the project.",""
"","Describe the methods and criteria used to determine the significance of adverse effects,",""
"2.","including defining the point at which any particular effect on a valued component is considered","4.4.5"
"","“significant”.",""
"","Evaluate the significance of residual adverse environmental and socio-economic effects",""
"3.","","6.0"
"","against the defined criteria.",""
"","Evaluate the likelihood of significant, residual adverse environmental and socio-economic",""
"4.","","6.0"
"","effects occurring and substantiate the conclusions made.",""
"A.2.7 Cumulative Effects Assessment","",""
"Scoping and Analysis of Cumulative Effects","",""
"","","4.5"
"","Identify the valued components for which residual effects are predicted, and describe and",""
"1.","","6.0"
"","justify the methods used to predict any residual effects.",""
"","","7.1"
"","For each valued component where residual effects have been identified, describe and justify","7.0"
"2.","",""
"","the spatial and temporal boundaries used to assess the potential cumulative effects.","7.2"
"","Identify other physical works or activities that have been or will be carried out within the",""
"3.","","7.1"
"","identified spatial and temporal boundaries for the cumulative effects assessment.",""
"","Identify whether the effects of those physical works or activities that have been or will be",""
"","","7.2"
"4.","carried out would be likely to produce effects on the valued components within the identified",""
"","","7.3"
"","boundaries.",""
"","Where other physical works or activities may affect the valued components for which residual",""
"","effects from the applicant’s proposed project are predicted, continue the cumulative effects",""
"","assessment, as follows:",""
"","Consider the various components, phases and activities associated with the applicant’s 
",""
"","","7.2"
"","project that could interact with other physical work or activities.",""
"5.","",""
"","","7.3"
"","Provide a description of the extent of the cumulative effects on valued components. 
",""
"","  Where professional knowledge or experience is cited, explain the extent to which",""
"","professional knowledge or experience was relied upon and justify how the resulting",""
"","conclusions or decisions were reached.",""
"Mitigation Measures for Cumulative Effects","",""
"","","6.0"
"","Describe the general and specific mitigation measures, beyond project-specific mitigation","7.0"
"1.","already considered, that are technically and economically feasible to address any cumulative","8.0"
"","effects.","Appendix A"
"","","(EPP)"
