"Agency","Permit / Approval / Authorization / Notification"
"Federal",""
"","Approval under section 52 of the National Energy Board Act (NEB Act);"
"","Approvals for pipelines that pass in, on, over, under, through or across navigable waters"
"National Energy Board (NEB)","(Navigable Waters Protection Act);"
"","Assessment of potential impacts to fisheries (Fisheries Act) or aquatic species at risk"
"","(Species at Risk Act)"
"Fisheries and Oceans",""
"","Authorization under section 35(2) and section 32 of the Fisheries Act"
"Canada (DFO)",""
"Provincial",""
"Alberta Environment and",""
"","Notification under the Water Act Code of Practice for Pipelines and Telecommunications"
"Sustainable Resource",""
"","Lines Crossing a Water Body (AENV 2000)"
"Development (ESRD)",""
"ESRD","Notification under the Water Act Code of Practice for Watercourse Crossings (AENV 2001)"
"","Notification under the Water Act Code of Practice for the Temporary Diversion of Water for"
"ESRD",""
"","Hydrostatic Testing of Pipelines (AENV 1999)"
"","Approval for land use dispositions under the Public Lands Act: Environmental Field Report"
"ESRD",""
"","for the pipeline (PLA) on public lands"
"Alberta Culture","Clearance under the Historical Resources Act"
