"Filing","","Section in"
"Manual","Filing Requirement","this ESA"
"No.","","Report"
"A.2.5 Description of the Environmental and Socio-Economic Setting","",""
"","Identify and describe the current biophysical and socio-economic setting of each element",""
"1.","","5.0"
"","(i.e., baseline information) in the area where the project is to be carried out.",""
"","Describe which biophysical or socio- economic elements in the study area are of ecological,",""
"","economic or human importance and require more detailed analysis taking into account the",""
"","results of consultation (see Table A-1 for examples). Where circumstances require more","5.0"
"2.","",""
"","detailed information in an ESA, see:","6.0"
"","i. 
Table A-2 – Filing Requirements for Biophysical Elements; or",""
"","ii. 
Table A-3 – Filing Requirements for Socio- Economic Elements.",""
"","Provide supporting evidence (e.g., references to scientific literature, field studies, local and",""
"","traditional knowledge, previous environmental assessment and monitoring reports) for:",""
"","information and data collected; 
",""
"","","4.1"
"3.","analysis completed; 
","4.2"
"","","5.0"
"","conclusions reached; and 
",""
"","the extent of professional judgment or experience relied upon in meeting these 
",""
"","information requirements, and the rationale for that extent of reliance.",""
"","Describe and substantiate the methods used for any surveys, such as those pertaining to",""
"","wildlife, fisheries, plants, species at risk or species of special status, soils, heritage resources",""
"4.","","5.0"
"","or traditional land use, and for establishing the baseline setting for the atmospheric and",""
"","acoustic environment.",""
"","","4.1"
"","Applicants must consult with other expert federal, provincial or territorial departments and",""
"5.","","4.2"
"","other relevant authorities on requirements for baseline information and methods.",""
"","","5.0"
"A.2.6 Effects Assessment","",""
"Identification and Analysis of Effects","",""
"","Describe the methods used to predict the effects of the project on the biophysical and socio-","4.4"
"1.","",""
"","economic elements, and the effects of the environment on the project.","6.0"
"","Predict the effects associated with the proposed project, including those that could be caused",""
"","by construction, operations, decommissioning or abandonment, as well as accidents and",""
"","malfunctions.",""
"2.","","6.0"
"","Also include effects the environment could have on the project. For those biophysical and",""
"","socio- economic elements or their valued components that require further analysis (see",""
"","Table A-1), provide the detailed information outlined in Tables A-2 and A-3.",""
"Mitigation Measures","",""
"","Describe the standard and project specific mitigation measures and their adequacy for",""
"","","6.0"
"","addressing the project effects, or clearly reference specific sections of company manuals that",""
"1.","","Appendix A"
"","provide mitigation measures. Ensure that referenced manuals are current and filed with the",""
"","","(EPP)"
"","NEB.",""
"","","8.2"
"","Ensure that commitments about mitigative measures will be communicated to field staff for",""
"2.","","Appendix A"
"","implementation through an Environmental Protection Plan (EPP).",""
"","","(EPP)"
